0.4689133 0.2041377 0.5220609 1.105837 0.5895807
0.5214644 0.5717261 0.491592 0.5756714 0.8807316
0.8193693 0.5416827 0.3699255 0.588964 0.2212983
0.9681445 1.156249 0.4121566 0.4469612 0.5781964
0.4517224 1.183435 0.8830998 0.6008002 0.6584409
0.2742071 0.4450356 1.280466 0.6220659 0.5481668
0.4823283 0.3296736 0.4080257 0.9887745 0.7647395
0.5218534 0.4086734 0.4703823 0.5086324 1.148061
0.7920511 0.8467996 0.07997149 0.2803055 0.6712382
1.074997 0.9109253 0.4555888 0.4378745 0.3989862
0.4947192 1.116481 0.6121246 0.7124626 0.1082966
0.7330148 0.3596513 1.067821 0.8096958 0.5191874
0.4684575 0.4397318 0.5895284 1.204674 0.7661106
0.5310302 0.432078 0.3766673 0.1879261 1.110482
1.190727 0.3490455
